mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0038640499114990234,0.00024661909952835,0.037648773193359374,0.0006321306418779205,ball_tree,9,1,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",0.6936708860759494,0.7069256756756757,0.6900337837837838,0.6993243243243243,0.7010135135135135,0.6981936366746493,0.0058739618187649565,10
0.0041237354278564455,0.0005339044410860954,0.09758868217468261,0.018941212803023164,ball_tree,9,2,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",0.6632911392405063,0.6680743243243243,0.6537162162162162,0.660472972972973,0.660472972972973,0.6612055251453987,0.004662471488845901,61
0.0039690971374511715,0.0006528211834210177,0.03989973068237305,0.0027330131296177773,ball_tree,9,2,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",0.6818565400843882,0.6951013513513513,0.6807432432432432,0.6925675675675675,0.6858108108108109,0.6872159026114721,0.005716869573353591,27
0.004432201385498047,0.00040038633680446016,0.05554442405700684,0.0015268314145338096,kd_tree,3,1,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.6725738396624472,0.6866554054054054,0.6765202702702703,0.6773648648648649,0.6773648648648649,0.6780958490135706,0.004632703679851569,46
0.004749488830566406,0.0003857432951828287,0.009601020812988281,0.00023773756995332351,kd_tree,3,1,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.6767932489451477,0.6967905405405406,0.6807432432432432,0.6942567567567568,0.6849662162162162,0.6867100011403809,0.0076883776532885575,29
0.005396270751953125,0.0007972204155357042,0.05767073631286621,0.0013251949481984037,kd_tree,3,2,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.6590717299578059,0.6798986486486487,0.6697635135135135,0.6714527027027027,0.6630067567567568,0.6686386703158854,0.007200221672978574,59
0.0048844337463378905,0.0005261954193610702,0.010490989685058594,0.000476039161522314,kd_tree,3,2,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.6649789029535865,0.6891891891891891,0.6790540540540541,0.6900337837837838,0.6773648648648649,0.6801241589690956,0.009148912996823666,37
0.005057716369628906,0.0004446652003507846,0.05952229499816895,0.0015539128063035248,kd_tree,5,1,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.6894514767932489,0.7010135135135135,0.6858108108108109,0.6849662162162162,0.683277027027027,0.6889038088721634,0.00638242639623801,18
0.004864740371704102,0.0005046503827902251,0.011461544036865234,0.0006500921828298896,kd_tree,5,1,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.6886075949367089,0.7153716216216216,0.6967905405405406,0.7018581081081081,0.6883445945945946,0.6981944919603148,0.009993758241274894,6
0.00456843376159668,0.00041232957463973094,0.05847048759460449,0.0010843542338154729,kd_tree,5,2,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.6759493670886076,0.6925675675675675,0.6613175675675675,0.6722972972972973,0.6638513513513513,0.6731966301744783,0.011064049352115737,50
0.004997444152832031,0.0006422250848828329,0.011574172973632812,0.00046431087795527305,kd_tree,5,2,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.6725738396624472,0.7086148648648649,0.6798986486486487,0.700168918918919,0.6756756756756757,0.6873863895541111,0.014329409887950076,23
0.0049892902374267575,0.00020768043428194782,0.06066508293151855,0.0027190011626754195,kd_tree,7,1,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.680168776371308,0.6925675675675675,0.6875,0.6638513513513513,0.6967905405405406,0.6841756471661535,0.011573618263696956,35
0.004480791091918945,0.00025078059801126207,0.012760114669799805,0.0009557295754262566,kd_tree,7,1,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.6928270042194092,0.7128378378378378,0.6908783783783784,0.6951013513513513,0.700168918918919,0.6983626981411791,0.007875118222942606,4
0.004683208465576172,0.0005801055806992908,0.059887361526489255,0.001297597653166832,kd_tree,7,2,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.6641350210970464,0.6790540540540541,0.6739864864864865,0.6706081081081081,0.6765202702702703,0.672860788003193,0.005181295720670922,53
0.004217624664306641,0.0003430061735093378,0.012423992156982422,0.0009692285961975236,kd_tree,7,2,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",0.6742616033755274,0.7018581081081081,0.6900337837837838,0.700168918918919,0.6908783783783784,0.6914401585129434,0.00981958426207516,14
0.004189729690551758,0.000402803091478108,0.060999822616577146,0.0026757857591609958,kd_tree,9,1,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",0.6734177215189874,0.6908783783783784,0.6697635135135135,0.6782094594594594,0.6866554054054054,0.6797848956551489,0.007921114427585838,41
0.004697370529174805,0.00048408017464141614,0.014388704299926757,0.0006524443424930066,kd_tree,9,1,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",0.6919831223628692,0.7077702702702703,0.6908783783783784,0.6993243243243243,0.7018581081081081,0.6983628406887901,0.006298556317736931,2
0.004572391510009766,0.0006320269047753766,0.060454797744750974,0.000983371901281376,kd_tree,9,2,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",0.6624472573839663,0.6672297297297297,0.6537162162162162,0.660472972972973,0.6596283783783784,0.6606989109362528,0.004374092429028227,62
0.004885196685791016,0.0006349321415454476,0.013803386688232422,0.00044264332891055894,kd_tree,9,2,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",0.6827004219409283,0.6942567567567568,0.6815878378378378,0.6925675675675675,0.6858108108108109,0.6873846789827802,0.005140242782796866,25
0.0015470027923583985,0.00047139057897554543,0.0993779182434082,0.13312834506689097,brute,3,1,uniform,"{'algorithm': 'brute', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.6734177215189874,0.6858108108108109,0.6765202702702703,0.6790540540540541,0.6773648648648649,0.6784335443037974,0.004117529962121749,45
0.001348590850830078,0.0004294060016911049,0.022971057891845705,0.0035487333187788003,brute,3,1,distance,"{'algorithm': 'brute', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.6776371308016877,0.6925675675675675,0.6807432432432432,0.6934121621621622,0.6858108108108109,0.6860341829170944,0.006255783159457213,32
0.001856088638305664,0.0004333393410940302,0.02685384750366211,0.022491322067378892,brute,3,2,uniform,"{'algorithm': 'brute', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.660759493670886,0.6790540540540541,0.668918918918919,0.6722972972972973,0.6630067567567568,0.6688073041395827,0.006566612478135913,58
0.0015922069549560546,0.0003460172510141861,0.013068389892578126,0.002938412480578257,brute,3,2,distance,"{'algorithm': 'brute', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.6683544303797468,0.6891891891891891,0.6790540540540541,0.6875,0.674831081081081,0.6797857509408142,0.007793503871315828,40
0.0014229774475097655,0.0003829900605343657,0.02821521759033203,0.00132147120928092,brute,5,1,uniform,"{'algorithm': 'brute', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.6902953586497891,0.7018581081081081,0.6866554054054054,0.6866554054054054,0.683277027027027,0.6897482609191469,0.006449125419948817,17
